,original_index,日付,レース場,レース番号,正解1着艇,1号艇勝利確率,2号艇勝利確率,3号艇勝利確率,4号艇勝利確率,5号艇勝利確率,6号艇勝利確率,1号艇確率,2号艇確率,3号艇確率,4号艇確率,5号艇確率,6号艇確率
3471,17624,2024-09-12,びわこ,7,1,0.26361888390628474,0.2575688264131412,0.1351179666887107,0.1658768416191826,0.11903982106263923,0.058777660310041474,0.9257613970566435,0.6608700326215338,0.6082047691137682,0.352975507735335,0.2763218750457241,0.1708959427251886
3472,17641,2024-09-12,下関,8,1,0.2947031467032774,0.08717466211477738,0.21687520250148418,0.09221995210057063,0.2722996551336779,0.03672738144621256,0.8942344950573907,0.4460859872110976,0.6651901626236526,0.3086128756865638,0.6100122688399867,0.12473562804268709
3473,17645,2024-09-12,丸亀,3,2,0.09976687726323019,0.20462688620699068,0.11135505428573549,0.17834827028806416,0.16130682077804134,0.2445960911779381,0.6836794931340789,0.5236981540391321,0.45806687848407596,0.4373027025937464,0.35111913135853895,0.5392077212405284
3474,17646,2024-09-12,丸亀,4,4,0.1013034408951119,0.28001767332811883,0.10676774001149363,0.3666629985067888,0.1082398434843958,0.037008303774091006,0.6917649828017581,0.6622082588717312,0.3964987641739036,0.7329282684581825,0.33790388699741325,0.20048742835335337
3475,17649,2024-09-12,丸亀,7,2,0.1514784331601176,0.20939452372334622,0.08605546171485476,0.3110634990815047,0.05990209389143545,0.18210598842874123,0.7592726332087137,0.7044852774312285,0.4476126220332126,0.603392220434609,0.1514737992287148,0.3344190917147239
3476,17660,2024-09-12,多摩川,2,4,0.09588464464136218,0.0379703324363406,0.05021365322289018,0.35537719012058017,0.050496343444314924,0.4100578361345119,0.8475492643833723,0.2932019515551989,0.385093383753708,0.755492655051646,0.12273560160098214,0.6022263450131482
3477,17663,2024-09-12,多摩川,5,4,0.23410911255068717,0.1750768717629116,0.04649475261484233,0.06449206266397786,0.43878706752516883,0.04104013288241216,0.8806557301509957,0.7493388571543557,0.1866376762980344,0.35999751269956665,0.6040185174687145,0.18458519344373592
3478,17678,2024-09-12,尼崎,2,1,0.17037142246712245,0.19832018654093428,0.12726769006503907,0.21291650592880074,0.09470929985542043,0.19641489514268298,0.8141800155397807,0.6436028874430174,0.4753027953072155,0.49793275682171806,0.12940411053949602,0.5235672821546568
3479,17688,2024-09-12,常滑,3,3,0.051303496825370797,0.5600882935574372,0.16589854037247467,0.02424718602887901,0.1596821511891573,0.03878033202668096,0.2612045901577472,0.8824874517162018,0.7380493129692789,0.24194176356653863,0.5921744497534512,0.14708211905173058
3480,17697,2024-09-12,桐生,3,1,0.15329096898666658,0.07587101618318323,0.3496242092838411,0.0875394180923337,0.23907557045183617,0.09459881700213926,0.7905830428623555,0.31042138890065324,0.7500085295281155,0.29012851542380713,0.5729074232519347,0.20197878614168155
3481,17698,2024-09-12,桐生,4,1,0.058862599616471584,0.19538195877950756,0.43655034205271126,0.12085143561132115,0.16551041042439602,0.022843253515592493,0.6323136640624497,0.6682145440670867,0.782661876928386,0.4053071847724625,0.42713248416527083,0.1308975708244995
3482,17702,2024-09-12,桐生,8,1,0.3999438519340835,0.10293201055673504,0.10192904948705331,0.16134059511480167,0.2002213135268519,0.033633179380474464,0.8953731422471323,0.5324524705651893,0.5206576202040676,0.5099993780883071,0.4264861426164354,0.13468534392452125
3483,17703,2024-09-12,桐生,9,1,0.21628898750185935,0.18161954151199505,0.14459052385483073,0.10256555889261205,0.12011907511030119,0.23481631312840162,0.8211637311192981,0.5734759391454327,0.5620341721359545,0.4179339216877908,0.16825323417530993,0.31873021096346005
3484,17704,2024-09-12,江戸川,1,5,0.1313303479722327,0.47345048967367587,0.09913509157013396,0.09926444551583546,0.12189686757114701,0.0749227576969749,0.7956085718487441,0.6243251430240339,0.594050083667133,0.25303440898129503,0.31122859958485155,0.31036369516898676
3485,17711,2024-09-12,江戸川,8,1,0.09676930162875776,0.14564945002673332,0.08988464515413847,0.12387804363408644,0.5173646129630065,0.026453946593277478,0.7984739392027294,0.5277420675590713,0.38763757624876294,0.39700345130401027,0.576479702462651,0.17613442528155987
3486,17712,2024-09-12,江戸川,9,3,0.10007920673923731,0.3086750525962075,0.25459113126408683,0.21381967543831007,0.0705379956552964,0.05229693830686205,0.6546219127340063,0.5360312795711426,0.6342077696492937,0.647071016793636,0.18384012957161916,0.19621231024483954
3487,17717,2024-09-12,浜名湖,6,3,0.09715510039037116,0.23808447686619216,0.18139911844497605,0.04489388472069743,0.42727827361253967,0.011189145965223421,0.5731991479284054,0.7728806100539047,0.6637850975102431,0.23661061301813588,0.6690817759539098,0.07408388201306339
